ProviderNamespace,ResourceType,ModuleDisplayName,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Microsoft.ManagedIdentity,userAssignedIdentities,nginx-plus-with-app-protect-premium-edition,nginx-plus-with-app-protect-premium-edition,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/nginx-plus-with-app-protect-premium-edition,br/public:avm/res/managed-identity/user-assigned-identity:X.Y.Z,46d3xbcp.res.managedidentity-userassignedidentity,elanzel,,,,,,,,2023-12
Microsoft.ManagedServices,registrationDefinitions,nvidia-image-for-ai-using-gpus,nvidia-image-for-ai-using-gpus,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/nvidia-image-for-ai-using-gpus,br/public:avm/res/managed-services/registration-definition:X.Y.Z,46d3xbcp.res.managedservices-registrationdef,,,,,,,,,2024-04
Microsoft.Management,managementGroups,octopus-deploy,octopus-deploy,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/octopus-deploy,br/public:avm/res/management/management-group:X.Y.Z,46d3xbcp.res.management-managementgroup,fblix,,,,,,,,2024-02
Microsoft.NetApp,netAppAccounts,postgresql-on-ubuntu,postgresql-on-ubuntu,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/postgresql-on-ubuntu,br/public:avm/res/net-app/net-app-account:X.Y.Z,46d3xbcp.res.netapp-netappaccount,fbinotto,,,,,,,,2024-01
Microsoft.Network,applicationGateway,serverless-web-application,serverless-web-application,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/serverless-web-application,br/public:avm/res/network/application-gateway:X.Y.Z,46d3xbcp.res.network-appgw,ilhaan,,,,,,,,2024-04
Microsoft.Network,ApplicationGatewayWebApplicationFirewallPolicies,service-endpoints-and-securing-storage,service-endpoints-and-securing-storage,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/service-endpoints-and-securing-storage,br/public:avm/res/network/application-gateway-web-application-firewall-policy:X.Y.Z,46d3xbcp.res.network-appgwwebappfirewallpolicy,ilhaan,,,,,,,,2024-04
Microsoft.Network,applicationSecurityGroups,skytap,skytap,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/skytap,br/public:avm/res/network/application-security-group:X.Y.Z,46d3xbcp.res.network-applicationsecuritygroup,segraef,,,,,,,,2023-12
Microsoft.Network,azureFirewall,static-webapp,static-webapp,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/static-webapp,br/public:avm/res/network/azure-firewall:X.Y.Z,46d3xbcp.res.network-azurefirewall,hundredacres,,,,,,,,2024-03
Microsoft.Network,bastionHosts,ubuntu-20.04LTS-with-prometheus-and-grafana,ubuntu-20.04LTS-with-prometheus-and-grafana,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/ubuntu-20.04LTS-with-prometheus-and-grafana,br/public:avm/res/network/bastion-host:X.Y.Z,46d3xbcp.res.network-bastionhost,krbar,,,,,,,,2023-12
Microsoft.Network,connections,umbraco-cms,umbraco-cms,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/umbraco-cms,br/public:avm/res/network/connection:X.Y.Z,46d3xbcp.res.network-connection,fabmas,,,,,,,,2023-12
Microsoft.Network,ddosProtectionPlans,veeam-backup-reaplication-v11,veeam-backup-reaplication-v11,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/veeam-backup-reaplication-v11,br/public:avm/res/network/ddos-protection-plan:X.Y.Z,46d3xbcp.res.network-ddosprotectionplan,segraef,,,,,,,,2024-01
Microsoft.Network,dnsForwardingRulesets,virtual-machine-with-office,virtual-machine-with-office,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/virtual-machine-with-office,br/public:avm/res/network/dns-forwarding-ruleset:X.Y.Z,46d3xbcp.res.network-dnsforwardingruleset,ChrisSidebotham,,,,,,,,2023-10
Microsoft.Network,dnsResolvers,vms-loop-template,vms-loop-template,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/vms-loop-template,br/public:avm/res/network/dns-resolver:X.Y.Z,46d3xbcp.res.network-dnsresolver,ChrisSidebotham,,,,,,,,2023-10
Microsoft.Network,dnsZones,wildfly,wildfly,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/wildfly,br/public:avm/res/network/dns-zone:X.Y.Z,46d3xbcp.res.network-dnszone,ChrisSidebotham,,,,,,,,2023-10
